BUY/SELL	price order    order ID
SELL		100.01		1278
BUY		100.0			1831
BUY		100.0			2122
BUY		100.0			2377
SELL		100.02		2198
BUY		99.99			1850
SELL		100.03		1392
SELL		100.04		1029
BUY		99.99			2155
SELL		100.04		1949
BUY		99.99			2184
SELL		100.05		1747
SELL		100.05		2099
BUY		99.98			1247
SELL		100.05		2330
BUY		99.98			1604
SELL		100.06		1734
BUY		99.98			2178
BUY		99.98			2198
SELL		100.06		2295
SELL		100.06		2462
SELL		100.07		1200
SELL		100.07		1479
BUY		99.97			1719
SELL		100.07		1927
BUY		99.97			1789
SELL		100.07		1943
SELL		100.07		2045
BUY		99.95			1189
BUY		99.94			2062
SELL		100.07		2072
BUY		99.94			2145
SELL		100.07		2488
BUY		99.94			2460
SELL		100.08		1082
BUY		99.93			1953
SELL		100.08		1194
BUY		99.93			2107
BUY		99.92			1575
SELL		100.08		1303
BUY		99.92			2150
BUY		99.9			1509
SELL		100.08		2081
BUY		99.89			1460
BUY		99.89			1790
SELL		100.08		2417
BUY		99.88			1251
SELL		100.09		2392
BUY		99.88			1511
SELL		100.1		1676
BUY		99.87			1433
SELL		100.1		1702
BUY		99.87			2106
SELL		100.11		2053
BUY		99.86			1102
SELL		100.11		2524
SELL		100.12		1675
BUY		99.86			1453
BUY		99.86			1956
SELL		100.12		1719
SELL		100.12		1864
BUY		99.86			2041
SELL		100.12		2336
SELL		100.13		2023
BUY		99.86			2384
BUY		99.85			1713
SELL		100.13		2104
BUY		99.85			2247
BUY		99.84			1869
SELL		100.15		1904
SELL		100.15		2385
SELL		100.16		1834
BUY		99.84			2276
SELL		100.17		1172
BUY		99.84			2347
SELL		100.17		1332
BUY		99.83			2026
BUY		99.82			1569
SELL		100.17		1901
BUY		99.82			2399
BUY		99.81			1619
SELL		100.17		2353
SELL		100.17		2483
BUY		99.81			1854
SELL		100.18		1690
SELL		100.18		1803
BUY		99.81			2143
BUY		99.81			2170
BUY		99.81			2398
SELL		100.19		1230
BUY		99.8			1279
SELL		100.19		1236
BUY		99.8			1328
SELL		100.19		2060
SELL		100.19		2273
SELL		100.2		1452
BUY		99.8			2425
BUY		99.79			1812
BUY		99.78			1129
SELL		100.2		1620
BUY		99.78			1159
SELL		100.21		1101
SELL		100.21		1485
BUY		99.78			1508
SELL		100.21		1596
BUY		99.78			1538
SELL		100.21		2433
BUY		99.78			2210
BUY		99.76			1694
SELL		100.23		1084
SELL		100.25		1340
BUY		99.76			1891
SELL		100.25		1359
BUY		99.76			2033
SELL		100.25		1622
SELL		100.25		2014
BUY		99.76			2308
SELL		100.25		2516
SELL		100.26		2119
BUY		99.75			1060
BUY		99.75			1130
SELL		100.26		2255
SELL		100.27		1269
SELL		100.27		1738
BUY		99.75			1248
BUY		99.75			1663
SELL		100.27		2050
BUY		99.75			2349
SELL		100.28		1446
BUY		99.74			1142
SELL		100.28		1767
SELL		100.28		2064
BUY		99.74			1531
SELL		100.29		1969
BUY		99.74			1590
SELL		100.29		2329
SELL		100.29		2371
BUY		99.74			2381
SELL		100.29		2465
BUY		99.73			1834
BUY		99.72			1415
SELL		100.3		1646
SELL		100.3		2387
BUY		99.72			1474
SELL		100.31		2240
SELL		100.32		1063
BUY		99.72			1659
SELL		100.33		1783
SELL		100.33		2515
BUY		99.72			1816
BUY		99.72			2187
BUY		99.71			1361
SELL		100.34		1801
BUY		99.71			1561
SELL		100.34		2372
BUY		99.71			1600
BUY		99.7			2459
BUY		99.69			1402
SELL		100.35		1367
SELL		100.35		1950
SELL		100.35		2402
SELL		100.37		1333
BUY		99.69			2055
SELL		100.37		1478
BUY		99.69			2111
SELL		100.38		1138
BUY		99.68			1999
SELL		100.38		1837
BUY		99.68			2197
SELL		100.38		2519
BUY		99.67			1338
SELL		100.39		1777
BUY		99.67			1403
SELL		100.39		2006
BUY		99.67			2137
BUY		99.67			2258
SELL		100.39		2288
BUY		99.66			1479
SELL		100.4		1167
SELL		100.4		1426
BUY		99.66			1576
SELL		100.41		1411
SELL		100.41		1451
SELL		100.41		1660
BUY		99.66			2004
BUY		99.66			2010
SELL		100.41		1712
SELL		100.41		2164
BUY		99.63			2052
SELL		100.42		1589
SELL		100.42		1965
BUY		99.63			2102
SELL		100.43		1489
BUY		99.63			2223
SELL		100.43		1985
BUY		99.62			1250
BUY		99.62			1947
BUY		99.62			2168
SELL		100.44		1291
SELL		100.44		1642
BUY		99.61			1383
SELL		100.44		1645
BUY		99.61			2338
SELL		100.44		1736
BUY		99.6			1751
BUY		99.6			2275
BUY		99.59			1162
SELL		100.44		2046
SELL		100.44		2262
BUY		99.59			1680
SELL		100.44		2349
SELL		100.45		1027
BUY		99.59			1791
BUY		99.59			2332
SELL		100.45		1529
SELL		100.45		1731
SELL		100.45		1866
BUY		99.58			1454
BUY		99.57			1684
SELL		100.45		2289
BUY		99.57			2095
SELL		100.45		2430
SELL		100.45		2455
BUY		99.57			2431
SELL		100.46		1089
SELL		100.46		1848
BUY		99.56			1517
SELL		100.46		1970
BUY		99.55			1537
SELL		100.47		2310
BUY		99.55			2382
SELL		100.47		2354
BUY		99.54			1647
SELL		100.47		2388
SELL		100.47		2437
BUY		99.53			1307
BUY		99.52			1809
SELL		100.48		1330
BUY		99.52			1976
SELL		100.49		2439
BUY		99.52			2231
SELL		100.5		1363
BUY		99.52			2416
SELL		100.5		1649
BUY		99.51			1353
SELL		100.51		1987
SELL		100.51		2002
SELL		100.52		1277
SELL		100.52		1376
BUY		99.51			2255
BUY		99.51			2434
SELL		100.52		2364
SELL		100.53		1704
SELL		100.54		1520
BUY		99.5			2194
SELL		100.54		1952
SELL		100.54		2038
BUY		99.49			1105
SELL		100.54		2080
BUY		99.49			1772
SELL		100.54		2233
BUY		99.49			2038
SELL		100.54		2370
BUY		99.49			2049
BUY		99.48			1876
SELL		100.55		1161
SELL		100.55		1275
BUY		99.47			1266
BUY		99.47			1820
SELL		100.55		1279
BUY		99.46			1287
SELL		100.55		1664
SELL		100.55		1798
BUY		99.46			1391
BUY		99.45			1752
SELL		100.55		2082
BUY		99.45			1962
BUY		99.44			1200
SELL		100.55		2239
SELL		100.55		2306
BUY		99.44			1443
SELL		100.56		1838
BUY		99.44			1731
SELL		100.57		1144
SELL		100.57		1640
BUY		99.44			2241
SELL		100.58		1722
SELL		100.58		1995
BUY		99.43			1339
BUY		99.43			1423
SELL		100.59		1157
BUY		99.43			1425
SELL		100.59		2010
SELL		100.59		2275
BUY		99.43			1756
SELL		100.59		2391
SELL		100.61		1272
BUY		99.43			2364
SELL		100.61		1773
SELL		100.61		2091
BUY		99.42			1557
SELL		100.62		1521
BUY		99.42			1924
BUY		99.42			2195
SELL		100.62		1959
BUY		99.41			1416
SELL		100.63		1244
BUY		99.41			2092
SELL		100.63		1297
SELL		100.63		1339
SELL		100.63		1628
BUY		99.39			1380
SELL		100.63		1672
SELL		100.63		1833
BUY		99.39			2022
BUY		99.39			2202
SELL		100.63		2200
SELL		100.63		2308
BUY		99.38			1083
SELL		100.63		2436
BUY		99.38			1098
SELL		100.64		1293
SELL		100.64		1899
BUY		99.38			2337
SELL		100.65		1322
BUY		99.37			1298
SELL		100.65		1500
BUY		99.37			1336
SELL		100.65		1580
BUY		99.37			1969
SELL		100.66		1380
BUY		99.37			2390
SELL		100.66		1560
BUY		99.37			2396
SELL		100.66		1870
BUY		99.36			1704
SELL		100.67		1240
BUY		99.35			1154
SELL		100.67		1820
BUY		99.35			1468
BUY		99.34			1497
SELL		100.67		2180
BUY		99.34			2299
SELL		100.67		2296
BUY		99.33			1322
SELL		100.67		2509
BUY		99.33			1603
SELL		100.68		1548
BUY		99.33			2081
SELL		100.68		1707
BUY		99.33			2140
SELL		100.68		1750
BUY		99.32			1358
SELL		100.68		1891
SELL		100.68		2209
BUY		99.31			1411
SELL		100.69		1203
BUY		99.31			1429
BUY		99.31			1709
SELL		100.69		1847
SELL		100.69		2390
BUY		99.31			1839
BUY		99.31			2330
BUY		99.3			1419
SELL		100.7		1056
BUY		99.3			1688
SELL		100.7		1366
SELL		100.7		1513
BUY		99.3			1856
BUY		99.3			2079
SELL		100.71		1354
BUY		99.3			2134
SELL		100.71		1404
SELL		100.71		1455
SELL		100.71		1530
BUY		99.29			1292
BUY		99.29			1440
SELL		100.71		2076
SELL		100.71		2250
BUY		99.29			1505
SELL		100.72		1111
SELL		100.72		1514
SELL		100.72		2183
BUY		99.29			1796
SELL		100.73		1233
BUY		99.29			2110
BUY		99.28			1733
SELL		100.73		1294
BUY		99.27			1291
SELL		100.73		1394
SELL		100.73		2190
BUY		99.26			1297
SELL		100.73		2261
SELL		100.74		1132
BUY		99.26			1681
SELL		100.74		1226
